subject,sessionIndex,rep,Hold,Down-Down,Up-Down
Andy,3,8,0.117439032,0.227094889,0.109655857
Andy,3,9,0.140676498,0.280916452,0.140239954
Andy,3,10,0.120983839,0.229762316,0.108778477
Andy,4,1,0.160647392,0.386398077,0.225750685
Andy,4,2,-1.088311195,1.187957048,2.276268244
Andy,4,3,-0.470732689,0.29450798,0.765240669
Andy,4,4,0.114902496,0.35203433,0.237131834
Andy,4,5,0.16003561,0.351032257,0.190996647
Andy,4,6,0.134727001,0.230933905,0.096206903
Andy,4,7,-2.599698544,0.263323784,2.863022327
Andy,4,8,0.14182353,0.26878953,0.126966
Andy,4,9,0.144319534,0.397539616,0.253220081
Andy,4,10,-3.732846737,0.250033379,3.982880116
Andy,5,1,0.13106513,0.232696772,0.101631641
Andy,5,2,0.12595129,1.144769192,1.018817902
Andy,5,3,0.115591288,0.274576187,0.1589849
Andy,5,4,0.125322104,0.437175751,0.311853647
Andy,5,5,-2.794325113,0.213928938,3.008254051
Andy,5,6,0.124849558,0.26156497,0.136715412
Andy,5,7,0.118053913,0.246487617,0.128433704
Andy,5,8,-2.985949993,0.202074051,3.188024044
Andy,5,9,0.137149334,0.62291503,0.485765696
Andy,5,10,-3.464664936,0.308268785,3.772933722
Andy,6,1,0.144034863,1.020941019,0.876906157
Andy,6,2,0.13030982,0.234810591,0.104500771
Andy,6,3,0.105509758,0.219229698,0.11371994
Andy,6,4,0.124381065,0.269165039,0.144783974
Andy,6,5,0.132211447,0.270668507,0.13845706
Andy,6,6,0.141453028,0.273540258,0.132087231
Andy,6,7,0.128077507,0.2279284,0.099850893
Andy,6,8,0.111459017,0.233277559,0.121818542
Andy,6,9,0.126211405,0.276661158,0.150449753
Andy,6,10,0.10585022,0.219187021,0.113336802
Andy,7,1,0.121760845,0.636278152,0.514517307
Andy,7,2,-2.519360781,0.213734865,2.733095646
Andy,7,3,0.085899353,0.274871588,0.188972235
Andy,7,4,0.150826693,0.266590595,0.115763903
Andy,7,5,0.11187458,0.226974964,0.115100384
Andy,7,6,0.133895397,0.332039833,0.198144436
Andy,7,7,0.120893002,0.313162088,0.192269087
